id p is gen f foc0 g1
1 19.5236353055693 0 1 0 1 0
2 19.4670162584736 0 1 0 1 0
3 21.4502604222182 0 1 0 1 0
4 17.671822819746 0 1 0 1 0
5 18.5541961019359 0 1 0 1 0
6 18.2652921701516 0 1 0 1 0
7 18.9044770239414 0 1 0 1 0
8 18.5959775320265 0 1 0 1 0
9 20.2515444993143 0 1 0 1 0
10 19.3985063068878 0 1 0 1 0
11 18.9013545646326 0 1 0 1 0
12 19.7118868645331 0 1 0 1 0
13 20.0793726838407 0 1 0 1 0
14 20.333729926376 0 1 0 1 0
15 19.3022080945138 0 1 0 1 0
16 18.8695553274974 0 1 0 1 0
17 20.9369007582754 0 1 0 1 0
18 20.8748980207372 0 1 0 1 0
19 18.9335472253953 0 1 0 1 0
20 19.7147595640224 0 1 0 1 0
21 19.3691881779039 0 1 0 1 0
22 20.7001665363483 0 1 0 1 0
23 20.601284562038 0 1 0 1 0
24 18.7292784738182 0 1 0 1 0
25 19.3234351418819 0 1 0 1 0
26 19.8337901415992 0 1 0 1 0
27 23.754102381308 0 1 0 1 0
28 21.2511863976508 0 1 0 1 0
29 21.7831870099536 0 1 0 1 0
30 20.0727515804479 0 1 0 1 0
31 18.9085894721046 0 1 0 1 0
32 18.062821598525 0 1 0 1 0
33 20.205351384448 0 1 0 1 0
34 22.3699813445042 0 1 0 1 0
35 21.0222714094506 0 1 0 1 0
36 22.0006941951339 0 1 0 1 0
37 20.6689546332201 0 1 0 1 0
38 19.2573375289609 0 1 0 1 0
39 20.8160556565116 0 1 0 1 0
40 19.2722978438438 0 1 0 1 0
41 18.0530560138709 0 1 0 1 0
42 20.0471126531658 0 1 0 1 0
43 18.1533526967835 0 1 0 1 0
44 22.485494856388 0 1 0 1 0
45 20.0102110790961 0 1 0 1 0
46 20.1993689066812 0 1 0 1 0
47 19.2121122056666 0 1 0 1 0
48 19.879624547604 0 1 0 1 0
49 19.7746662981309 0 1 0 1 0
50 19.4157960337746 0 1 0 1 0
51 18.3975939359563 0 1 0 1 0
52 19.1577212008588 0 1 0 1 0
53 20.3293938534839 0 1 0 1 0
54 17.6532240073745 0 1 0 1 0
55 22.7396182130565 0 1 0 1 0
